artist_id,artist_name,artist_genre,artist_followers,artist_popularity
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,`hip hop` `pop rap` `rap` `southern hip hop` `trap` ,1557350,84
0iHb0mCbqZTYeb4y9Pirrd,Temple Of The Dog,`alternative metal` `alternative rock` `grunge` `hard rock` `post-grunge` `rock` ,603664,60
0iiDqBBNToKJG4YoyESrBf,Always Never,`alternative r&b` `canadian contemporary r&b` `trap soul` ,35421,56
0IPsENxttHn3ejcfAfx92H,O'Brother,`dreamo` `progressive post-hardcore` ,19618,35
0iTkPxRldzi5lmS6qZ70JV,C.W. McCall,`comic` `country rock` `truck-driving country` ,40418,48
0j0HOVpdJ2XuGIkfWhEdtz,DVTCH NORRIS,`belgian hip hop` ,9519,42
0J2Ej2rMQyqaUX3G6MUISw,Ambrosia,`adult standards` `album rock` `art rock` `classic rock` `country rock` `folk rock` `mellow gold` `rock` `singer-songwriter` `soft rock` `symphonic rock` `yacht rock` ,147362,57
0JdGPxHeRGfOyZg3EHwp2g,Alex Wiley,`chicago rap` `deep underground hip hop` `underground hip hop` ,71186,55
0jJNGWrpjGIHUdTTJiIYeB,The Wallflowers,`alternative rock` `mellow gold` `neo mellow` `pop rock` `post-grunge` `rock` ,378219,61
0jNDKefhfSbLR9sFvcPLHo,San Holo,`edm` `electro house` `electronic trap` `electropop` `vapor twitch` ,517013,68
0JOxt5QOwq0czoJxvSc5hS,GASHI,`pop rap` `trap` `trap soul` ,109147,72
0JuDxOwz1e3Wx05t8e3AT3,Sylvan LaCue,`deep underground hip hop` `miami hip hop` `underground hip hop` ,53198,50
0jUQSUOcM7lxVn5eVGTkzQ,Justine Skye,`alternative r&b` `deep pop r&b` `indie r&b` `pop` `pop rap` `post-teen pop` `r&b` ,277178,62
0JyCM9EwjQZZzQPGTSM1qc,The Reign of Kindo,`dreamo` `piano rock` `progressive post-hardcore` ,32247,42
0K1q0nXQ8is36PzOKAMbNe,Spoon,`alternative rock` `austindie` `chamber pop` `dance-punk` `garage rock` `indie pop` `indie rock` `modern rock` `stomp and holler` ,408106,64
0k6m2onP4vty049gZ9PseB,Noordkaap,`belgian rock` `classic belgian pop` ,7650,36
0kDgxQlVYVecF6MCNWJTYE,Pivot Gang,`alternative r&b` `underground hip hop` ,24346,51
0Kekt6CKSo0m5mivKcoH51,Sergei Rachmaninoff,`classical` `post-romantic era` `russian romanticism` `ukrainian classical` ,295648,64
0khqcsFxd6ans7Zh1JqraT,Croosh,`deep underground hip hop` `trap soul` ,48678,57
0khzcQ6PQU5a6dl1Qss3pt,Lorrie Morgan,`country` `country dawn` `country rock` ,188727,48
0knGpCTbmG4ctl1wzYRZs4,Dijon,`alternative r&b` `bedroom soul` `indie r&b` ,52244,62
0kObWap02DEg9EAJ3PBxzf,Starship,`album rock` `dance rock` `mellow gold` `new romantic` `new wave` `new wave pop` `soft rock` ,431137,69
